Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $343/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method
0x0cca5dba56db3da28a9c08e1508e8bb5635c5eb3667af61cb810195f784375ef,14283319,1641938027,1/11/2022 21:53,0x45163aa7eb561321e104b7305a299dcf7de107db,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.001042,0.357406,463.38,,,Deposit
0x42c55f7d38e02e8f5d469b216583d72c94f385826fbde3d9e2420ecebd3890bd,14283335,1641938075,1/11/2022 21:54,0xe98dc2f5ad89fbe4b491c5e9cc78e2dbed516b78,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000308975,0.105978425,463.38,,,Mass Stake Reward
0x8e7965bd43cc811d06600021d73a0ebe62b5f49a7946b9a4517bf721aa7df853,14283340,1641938090,1/11/2022 21:54,0x43e963487cd3599e8f58cfe9e34b2eed59451e97,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.00089206,0.30597658,463.38,,,Deposit
0x8f5c1ab1d4acf733258ca4b49a199390c168919735074430f89c61a44cc9c30c,14283353,1641938129,1/11/2022 21:55,0x2a479056fac97b62806cc740b11774e6598b1649,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.00089206,0.30597658,463.38,,,Deposit
0xb02d95e179fad97c2f58a120a1086e604afb17465c8807f7271fd78e6fcd5a27,14283354,1641938132,1/11/2022 21:55,0xefcc5406d1354d668a25a418629cd83c2d185aea,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000308975,0.105978425,463.38,,,Mass Stake Reward
0x04a8127c68d3698959a53a3387e1b14b8ff6b3c2c3ba8696848f1922c1efe16a,14283358,1641938144,1/11/2022 21:55,0x2a479056fac97b62806cc740b11774e6598b1649,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000624885,0.214335555,463.38,,,Deposit
0xf3c0e9642a0913adec95bb917010bd29d634acb11d93bee9bb16e95dfb0793a4,14283361,1641938153,1/11/2022 21:55,0x45163aa7eb561321e104b7305a299dcf7de107db,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.00191216,0.65587088,463.38,,,Deposit
0xe0a5995812a714f102ea545ed7c1a38ab4dbe3adb3dd13d97ae9636e88e85576,14283367,1641938171,1/11/2022 21:56,0x45163aa7eb561321e104b7305a299dcf7de107db,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.001448635,0.496881805,463.38,Error(0),execution reverted,Deposit
0x698d53c38bd5667d0c780f09d119a066474cf7d4ea4071f04285cbca912ea98c,14283380,1641938210,1/11/2022 21:56,0xd3b883e92cf00b7d6b47bf86273207ef9a234be2,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000108835,0.037330405,463.38,,,Mass Harvest
0x6922482e5b8b19004b0b62c168e6c2e10566c93d328e9a3a3682b01047adaeec,14283381,1641938213,1/11/2022 21:56,0x2a479056fac97b62806cc740b11774e6598b1649,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.00079894,0.27403642,463.38,,,Deposit
0x9127ec1954d88ca3393191b1c576ce550839848499d712bc2850e79d4065553f,14283385,1641938225,1/11/2022 21:57,0x2a479056fac97b62806cc740b11774e6598b1649,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.001141235,0.391443605,463.38,,,Deposit
0x0e731806f29de71f3af459d76e3bafac66a8ac868ed8532c8ca01f2990573e46,14283392,1641938246,1/11/2022 21:57,0x817dfe4072afd8e0cf4f6ae082daaaf4143dd7a4,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.00096706,0.33170158,463.38,,,Deposit
0xf945209372638086d2aad39c36956dcb780d05685ffb7b96afe52fd8e77a720b,14283393,1641938249,1/11/2022 21:57,0xefcc5406d1354d668a25a418629cd83c2d185aea,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000308975,0.105978425,463.38,,,Mass Stake Reward
0x3e9326bb2b6179c38e4bda08a3ed4952c908030a1de7ae700f11f6697478dd5f,14283395,1641938255,1/11/2022 21:57,0x0813b13f440b05a753d532a498eacfd34422e42b,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000892,0.305956,463.38,,,Deposit
0x250bc8d467c0a1458e85b52d5a81f8b144c80e00e96e30e5cd68560bd914e5dc,14283396,1641938258,1/11/2022 21:57,0x2a479056fac97b62806cc740b11774e6598b1649,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.00079888,0.27401584,463.38,,,Deposit
0xe7c5ea80bf2ea28b60f790cbc7dbc4f9fe0f048ac071a9444d43928477f5fa77,14283397,1641938261,1/11/2022 21:57,0x3e622a7b1d22fb9079e1d9133515bfed8b93f107,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000892,0.305956,463.38,,,Deposit
0xf5394eb7dc432290a7ab331b372e9636e2737d9e6ba248ead740315603e59482,14283402,1641938276,1/11/2022 21:57,0x2a479056fac97b62806cc740b11774e6598b1649,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.00079888,0.27401584,463.38,,,Deposit
