Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $342.37/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method
0xec396b241e38a20ca9260cf5f95c92a4e2ddb9f94c465b793b4968a5e739b680,14280935,1641930875,1/11/2022 19:54,0x2a479056fac97b62806cc740b11774e6598b1649,0x8b6e0aa1e9363765ea106fa42fc665c691443b63,,0,0,0,0.000221405,0.07580243,463.38,,,Setwhitelist Token
0xe16cc91992d21b7fc2001449bad58623cd4b4615273dde717051c531a4da3d68,14280943,1641930899,1/11/2022 19:54,0x2a479056fac97b62806cc740b11774e6598b1649,0x8b6e0aa1e9363765ea106fa42fc665c691443b63,,40.908704,0,14005.91299,0.01120578,3.836522899,463.38,,,Add Liquidity ETH
0xfbb7a629cbcf0c49fd5fe486a5964960eeb6e85c027c26b596e5585b27276a30,14281608,1641932894,1/11/2022 20:28,0x2a479056fac97b62806cc740b11774e6598b1649,0x8b6e0aa1e9363765ea106fa42fc665c691443b63,,0,0,0,0.000225155,0.077086317,463.38,,,Pause Price Guard
0x0e58799a7328bef1058c36e19b2d6b1ee7531c937baff217c50d9ddea9f0527c,14281610,1641932900,1/11/2022 20:28,0x2a479056fac97b62806cc740b11774e6598b1649,0x8b6e0aa1e9363765ea106fa42fc665c691443b63,,0,0,0,0.000225155,0.077086317,463.38,,,Pause Price Guard
0x1d160aede1661ff426e4f4ee3e1794b31ad40e2205a671558e381b48e3f91bb5,14281612,1641932906,1/11/2022 20:28,0x2a479056fac97b62806cc740b11774e6598b1649,0x8b6e0aa1e9363765ea106fa42fc665c691443b63,,0,0,0,0.000225155,0.077086317,463.38,,,Pause Price Guard
0x8e0058bd8981350f1b82ac91239df29a9bcfbff86c462961620fe10cb56d5608,14281615,1641932915,1/11/2022 20:28,0x2a479056fac97b62806cc740b11774e6598b1649,0x8b6e0aa1e9363765ea106fa42fc665c691443b63,,0,0,0,0.000225155,0.077086317,463.38,,,Pause Price Guard
0x4a2ac0696dfd199649d04eea03f95b4383091d3baf21fbaf805a9043705097a1,14281617,1641932921,1/11/2022 20:28,0x2a479056fac97b62806cc740b11774e6598b1649,0x8b6e0aa1e9363765ea106fa42fc665c691443b63,,0,0,0,0.000225155,0.077086317,463.38,,,Pause Price Guard
0x25c5382c31782b9a8d753defffa9522f1f72265726d67ab256b97715e2b85f56,14281618,1641932924,1/11/2022 20:28,0x2a479056fac97b62806cc740b11774e6598b1649,0x8b6e0aa1e9363765ea106fa42fc665c691443b63,,0,0,0,0.000225155,0.077086317,463.38,,,Pause Price Guard
0x137fe26026fa7535f1d1a9ac9616d9828bf98e64af52e64751944a550abbb26e,14281620,1641932930,1/11/2022 20:28,0x2a479056fac97b62806cc740b11774e6598b1649,0x8b6e0aa1e9363765ea106fa42fc665c691443b63,,0,0,0,0.000225155,0.077086317,463.38,,,Pause Price Guard
0xf4274dca853fef1ad66a0ef5e54a2bd30fcbbb9e21f57c1710059f38ea4530ab,14281622,1641932936,1/11/2022 20:28,0x2a479056fac97b62806cc740b11774e6598b1649,0x8b6e0aa1e9363765ea106fa42fc665c691443b63,,0,0,0,0.000225155,0.077086317,463.38,,,Pause Price Guard
0xd615707abf42ec0db5508b8e4b126592cabf4c2b826f259fd7d5086d5e251627,14281625,1641932945,1/11/2022 20:29,0x2a479056fac97b62806cc740b11774e6598b1649,0x8b6e0aa1e9363765ea106fa42fc665c691443b63,,0,0,0,0.000225155,0.077086317,463.38,,,Pause Price Guard
0xe6859490414b7ac6ce6f877172e90b1c796fa396f33c3e6a9820f13cc7807ae9,14281627,1641932951,1/11/2022 20:29,0x2a479056fac97b62806cc740b11774e6598b1649,0x8b6e0aa1e9363765ea106fa42fc665c691443b63,,0,0,0,0.000225155,0.077086317,463.38,,,Pause Price Guard
0x069818d997a94073268b0e79cb1e0298a3e2a44b8fc584334173bc58c57bf952,14283118,1641937424,1/11/2022 21:43,0x817dfe4072afd8e0cf4f6ae082daaaf4143dd7a4,0x8b6e0aa1e9363765ea106fa42fc665c691443b63,,0,0,0,0.000841265,0.288023898,463.38,,,Add Liquidity
0xe3a10bf938697ef431abf52c55f15c53ced39b9380787f4dcabd2b5145bb386a,14283216,1641937718,1/11/2022 21:48,0x56f4a86a0e05128b9f6a9e6c18fe248309014165,0x8b6e0aa1e9363765ea106fa42fc665c691443b63,,0.107850664,0,36.92483183,0.00199643,0.683517739,463.38,,,Add Liquidity ETH
0x3abdc652bc61bc45159b1a8832a443a950969d6047fbcdf4b83ebd9de8a5df2d,14283253,1641937829,1/11/2022 21:50,0x1bc5ed7a3d5770cc2d420f22cf3b4dd10d4ddf1e,0x8b6e0aa1e9363765ea106fa42fc665c691443b63,,1.588623233,0,543.8969363,0.00199643,0.683517739,463.38,,,Add Liquidity ETH
0x7c3587b0a5282cf980253c8b2976f1c4651e0053df6ab939579cba53320e40b9,14283286,1641937928,1/11/2022 21:52,0x3e622a7b1d22fb9079e1d9133515bfed8b93f107,0x8b6e0aa1e9363765ea106fa42fc665c691443b63,,0.06,0,20.5422,0.00193539,0.662619474,463.38,,,Add Liquidity ETH
0xf5bd644eed29d0e4ef13ab4ec4286f07b9de1803279eac1149caff738b2b0bf1,14283306,1641937988,1/11/2022 21:53,0x2dbc3e228b85d84aea9004b38e95fd5f9df71dc0,0x8b6e0aa1e9363765ea106fa42fc665c691443b63,,0.348585872,0,119.3453451,0.000161015,0.055126706,463.38,Error(0),execution reverted,Add Liquidity ETH
0x564bfeaec215999799bd13fc321b325b32b850c0baa14b940ebc897d5dad42b7,14283310,1641938000,1/11/2022 21:53,0x45163aa7eb561321e104b7305a299dcf7de107db,0x8b6e0aa1e9363765ea106fa42fc665c691443b63,,0.420402078,0,143.9330593,0.00199619,0.68343557,463.38,,,Add Liquidity ETH
