"HolderAddress","Balance","PendingBalanceUpdate"
"0x1914172d1c51412c3fc37ec86989edcc5fdcc0bc","50","No"
"0x1922ec03ecc13b07011d223a8a0bb3a208418a45","2E-18","No"
"0x192b447d08d87318b6d4c1f1eb3159e948700098","1E-18","No"
"0x1963b4e3d6a6d24882262725dc618ba58b056aa9","23.3333333333333","No"
"0x19a6cff3e75819446e2134c1364031cab9cf3775","6.33333333333333","No"
"0x19b8b60f3628fc8fd9b43bf2b184b4e6ff24cc9a","1E-18","No"
"0x1a338cba269f8270525e123d5b7bf13b4415a1fa","60","No"
"0x1afa957fea269e99dd0ed7bfcc790434b90388b6","1E-18","No"
"0x1c028d417ca648984dea4303550ed3cf2d2807e0","1E-18","No"
"0x1c5b1d681435ddb9244139f03f09e8ce18a4ac70","1E-18","No"
"0x1c70bbb1902ae2ac9d4e376f6e5acf749a5c24da","1E-18","No"
"0x1c86e98a4cc451db8a502f31c14327d2b7cec123","2E-18","No"
"0x1c9df4b72de9088b13484d527f2fdafdf5562b15","1E-18","No"
"0x1ccf10f23ab17073e4f140372424f8af0cad8f6d","2E-18","No"
"0x1dc4d8e42c85e2f2711a4c964c915177f31a7bb7","1E-18","No"
"0x1dd4cf1c081b29591600c8f23807e8877b9ee112","1E-18","No"
"0x1e09c8ef31903f4e68b472983ec7a305522a9b84","1E-18","No"
"0x1e21bb5e3013a8fc3e805271463f9044b05b6221","2E-18","No"
"0x1e743d45ef950327d198236794e6baad1bd42dea","2E-18","No"
"0x1eb7c4c104757d6485d9c3cac305a22443b909ac","1E-18","No"
"0x1ed2d2b7b98e605e1a7ae1c3a01ecb2492b10fcf","1E-18","No"
"0x1f0c4fb74d1bc12cf218e4516773341d4ff41b39","58","No"
"0x1f55a25b669ffb5b6bf237c826557caccef38b29","1E-18","No"
"0x209bff63c1413583784e4812288ac2f1e530a7da","2E-18","No"
"0x20bdaa69554d5f914ee97c4457845329f54c2fd8","14.2857142857143","No"
"0x20f2f6fd68652413aa54272203acb72a04eeebd2","1E-18","No"
"0x20f5eca6439285ef4bdcb3053f66330659a04d74","1E-18","No"
"0x212c35d2fe5b5395a0e384d3ef0b5a5c34d79a27","1E-18","No"
"0x214def7d5b7f65b7cfe9f4cf42868efa9b42517e","1E-18","No"
"0x21a06bbdbdd77ebcb0627a2e2617fb5af2b5057b","1E-18","No"
"0x21b102e3b01a38fa021edc32063b4d5d4b144fd6","2E-18","No"
"0x21face3f7d01accd991db9e1471336fad3596d2f","1E-18","No"
"0x22057c79e4a9f2856a97c90b8a5d73b5fa14ba6c","1E-18","No"
"0x2331edf81ad291d013a167cf797e04a1388cfa1e","1E-18","No"
"0x23772a766b6e20d03e2e93bbb65524d87151d573","1E-18","No"
"0x23908eaafcae5ed16dc855404819f22eb41341bb","142.857142857143","No"
"0x24678d46062a2245fd0126f87d7c37cd279e6129","1E-18","No"
"0x24cc9aa08e7cce3a9a9799b6a064ff25e1f26162","1E-18","No"
"0x253ba4a726af9f07480544e168f31a0fd49671f8","1E-18","No"
"0x2581b9af49b938de218d2e04ce7bd4cb9a282af7","336","No"
"0x2598651d7337692a7770401c9b8945621f8e441e","1E-18","No"
"0x25dffda2709dfad2e83f8b5ca801fc0a0edc0322","1E-18","No"
"0x261de6fbf2cc03aff9a536ee8b0eff86c9132bc1","1E-18","No"
"0x262dc603a1207591a5a12cdcd980a42037772359","1E-18","No"
"0x26fd7384ae47cd59c6f041bc22f777f44154bb52","1E-18","No"
"0x272c9863d0fcbfdfed3820828913f465ad0d3d2c","1E-18","No"
"0x273ec095fe4c3c023b6e5d3dcd3642af950ac930","1E-18","No"
"0x273ef6375d6e93bc87dadccd1d6ced98e0f8cb4d","1E-18","No"
"0x275e6f96bf3ef14bdfe20b46d318ee5557a4c3c0","3.5","No"
"0x2818ed786cbfa747a9d1313a0f98c0878f06a003","8.66666666666667","No"
"0x28233c517116dfe511376dd4c9bd27563fb57609","1E-18","No"
"0x282ffd72aca524d50cc6b798f3f1f2fb260f2783","1E-18","No"
"0x284ec15a09627275122a5493e1dfaf686982cac1","2E-18","No"
"0x286476ec93f743c7fa8018be31fb77555ffe0847","1E-18","No"
"0x2883648ec5cf06dc6a205a68479677d37c0f7449","1E-18","No"
"0x28a9833651220bb63fad5b0e3794855e2c7bc2ec","2E-18","No"
"0x2900015334cb4c1f13276bf5c29a0a8c2db8b68d","1E-18","No"
"0x291f4ab0d6ab677ce97d48fb9cbc1dcd2b64b47e","4.75","No"
"0x29aec2e84d9f5aa21d423ddb80e400cae1a49d48","2E-18","No"
"0x2a479056fac97b62806cc740b11774e6598b1649","147.016874922199","No"
"0x2b18901d7b76b7485357fc13f7565bd31e23f971","1E-18","No"
"0x2b86d782236469b008a8505e7f290098990f2cb4","1E-18","No"
"0x2ba989a0c7ddeb1f6f24ba138b39fc602b4f0cd5","2E-18","No"
"0x2bbe703074e0e54e9071a75d73e74421d346aa83","125","No"
"0x2bd5f6bd4b6f40b59b1676f0a4e59d44a2e21de9","542.857142857143","No"
"0x2c47e26adc0e9fa34561e56ee1c615426737dd8b","1E-18","No"
"0x2c60e17f3db63065e38bb8ad922d9028de25ffd3","2.85714285714286","No"
"0x2cc83161fa6e0b73227405a5bfcd359dd5381308","1E-18","No"
"0x2d0e50a09be143f5b2c3570afee405ad014d708e","2E-18","No"
"0x2d25636ac65fd2aafe8096955779dd41d643ea26","2000","No"
"0x2d733d76665414042be9b8cdadf13f27f9d09ac0","2E-18","No"
"0x2d90c05758c74d0e893d9ce234f9cafdd56f136b","1E-18","No"
"0x2d9cdb20c6d666c9836bfb6c04304ef235b3af54","2E-18","No"
"0x2da3c7522baab4d8b6ddd088e0e78d7730705a54","1E-18","No"
"0x2dbc3e228b85d84aea9004b38e95fd5f9df71dc0","1E-18","No"
"0x2dea720df2e4d611d504e97b85fa00e5ffbd59af","2E-18","No"
"0x2e9ba623b0612fd708d621aaabc67c71e31f7e34","1E-18","No"
"0x2eae0a48a9ce14b0f2865ce7c8bc181253ebffd3","212.5","No"
"0x2fce9dc1be6d631003b7265cffce7dba31104961","2E-18","No"
"0x2fd2df553868bc24fbf566aeea0dea1487092a6f","1E-18","No"
"0x2fe691560844f4e81aa6963e8e5e957d29090a33","1E-18","No"
"0x3017874df952ecb806b0abb6cd96a4485dd1422b","1E-18","No"
"0x30178fd6f019f6bafbc599afaadeaec8b6228b40","2E-18","No"
"0x301c1293a628e67735725fab533dc93474841694","1E-18","No"
"0x3033e8374aa5df99aebebcf76d32cd230403ceac","1E-18","No"
"0x3058c143e7040135a53700399ad5762a03292999","1E-18","No"
"0x305b78b83b711bce08db955259d11bacd07d430c","1E-18","No"
"0x3070d5794b215035957770104f7de90fdc13e3cf","1E-18","No"
"0x30e7e5eb11b86a0a11de0a3954ac7f9834c958b7","2E-18","No"
"0x31677139ce0397c9efac07b713fc2e03d06bc56a","7.70857142857143","No"
"0x31c40dec26a231cc1da530b46d7b3874b95d4125","1E-18","No"
"0x31caf8574c488c5ad2720ad1c48fb12e101e1ef0","1E-18","No"
"0x321a7e3dbd6ef0ba303fe61622f821e6f4fe4a46","2E-18","No"
"0x3227209fc0352418c82c6f51b1427cf15f8a5845","1E-18","No"
"0x3242e89dd4e0f7e1d54d51f6e1ccf0d69a11d729","2E-18","No"
"0x324d1e3ebef86cb5887e3033c5111ccbfe9d6e79","1E-18","No"
"0x32716a466105d09e2db84094048ee43e128e7b2f","1E-18","No"
"0x32e6b7d57a7b2347c08df02889c69984890f8888","2E-18","No"
"0x331cb7b92ac705fd94389ce667dbb3c0e5b55f0b","1E-18","No"
"0x331ee5d97a758e626c9cbc28fc0c14191f9f9a65","1E-18","No"
"0x3353dfa3427fda39e73c3198881b55aa5f7b27d3","1E-18","No"
"0x3355e761f7b3ba2c08ae0ce7b6c821122040ef0a","1E-18","No"
"0x33c4296e5cf9e8dde73911aeede936489798cdce","2E-18","No"
"0x33f1f564e0f46a1bb81e9f9130b6203f3019bcb1","1E-18","No"
"0x3417e0d4dcf131f4a8f99099683a9546ec759920","1E-18","No"
"0x342349d165db8e5f426493443e313073c50713f3","2E-18","No"
"0x342fb80b04837754825349ffd551a19642bbda62","1E-18","No"
"0x343d2b981fba99649ac7a8b1c2c68ca5fd614cf2","12.6666666666667","No"
"0x3442ac5ba78d14c5258b7ebaae971c2614ecbd3c","1E-18","No"
"0x3464010c0ef748c8aa135195d1ca1a00aaec050e","664.558666666667","No"
"0x34640f3d8ec3f7991b46329a2cf6f8e9cadc32e4","35.1428571428571","No"
"0x34835e679e87a411df95c351aabc8252b3a935a7","1E-18","No"
"0x348c7e19fffb69fd9217c7296944e12cf77a996b","2E-18","No"
"0x34b16e2a8bc7260f34464298e2979d00409b54f8","1E-18","No"
"0x353c66dec3ced6f85fe55c4086be32fb254f606b","1E-18","No"
"0x3578c4401066eae1ac66d2abb3a9e26c8ea7cde3","133.333333333333","No"
"0x359954304d626c200edbb8589fbb67ec759df84c","1E-18","No"
"0x35b62244c0a8cc06b6beb7fc8ac778d32280c22e","1E-18","No"
"0x35fae20e1d7744785e11c19e56630dfe20254932","1E-18","No"
"0x363e44430cbe6248e229843c6bae948f084c0a88","1E-18","No"
"0x3692288778c2fc2b9cd49c7d364f8840e06916e3","1E-18","No"
"0x372ff859a6395d07dac9277ae313fe201fe8e1ac","1E-18","No"
"0x376f1816f0c0b6198c69db11bfd919cae2361511","2E-18","No"
"0x37acfabebff8e2712f7ff804566348b8081178e7","71.6666666666667","No"
"0x37bddd0fa49b40877818fe2eba064d4fe90d1723","160","No"
"0x383658eb3e3c1a8244bf357ba1a393f1790c3165","12","No"
"0x383d8aa245b79b04f29497f9bd94994c03c645bf","15.7714285714286","No"
"0x38430753217ce5e4a0535371da9161f2d38c808b","66.6666666666667","No"
"0x38a790d5886e18d9f48092bdade9830b96ce88d4","1E-18","No"
"0x396f1690ba7e65ef4bdb73087b5cc03a1609b41c","2E-18","No"
"0x39bfe2279e9ce1f10f8069ec1adb2b463d8f246e","1E-18","No"
"0x39eff0dd13e43242e6e6bf9c9eecda20b2880cbb","1E-18","No"
"0x3a0ec548050098ea1b377e4feba6c78e06422fe3","22.5","No"
"0x3a89408e41f6dd7f1870fe53bee6f01f48fb1da6","1E-18","No"
"0x3ac5e60b9f9e39c18dc0e6901b97b60fa6223d63","1E-18","No"
"0x3ae5581ff5016eab62cb7224557eea0583ab5f25","1E-18","No"
"0x3b47d968242d2730bbfd98b3b8a46500de97877e","1E-18","No"
"0x3b693ab53cd42e337aedcb4c549539ba86b4a6a3","3.927493701982E-06","No"
"0x3bfc81798bdfbc25c7b09cf74b4ff1d9ec7c2a9e","1E-18","No"
"0x3c1a21d2bdc48e2609bdddc587f00ebf7b10480a","1E-18","No"
"0x3c96463dac3baffd84391f49d67c861e9d967a39","1E-18","No"
"0x3cb0173022c32200d159dd99e6be136923192ea9","1E-18","No"
"0x3cfb96b0d0f203cbc3b225ada8a4f39f60aff2f4","2E-18","No"
"0x3d2079d74a574edf5a7e03cf61084d5524883372","2E-18","No"
"0x3d3801e6feed0c3bdddc98f8a8a9959eba24b4f4","1E-18","No"
"0x3d9163975fb9beadd4d3466f89e038eaf2ced7af","1E-18","No"
"0x3dc2b7e5dc5274c2d603342e73d1d0a9de96796a","905281.567067907","No"
"0x3dc66b2bbb8415f6ef99e409ae390d302c0cb570","1E-18","No"
"0x3e2524eef486533fefbfd221498ff6a96530a964","1E-18","No"
"0x3e622a7b1d22fb9079e1d9133515bfed8b93f107","1E-18","No"
"0x3e7f2508ee84db1b17b1bfc87164360349287dd6","145.821428571429","No"
"0x3ec0bdc1dca363368ba6cbcff90771eb9ea63594","1E-18","No"
"0x3f2dfca55fe5acd2f1bc970354bf0cac7a4e980b","1E-18","No"
"0x3fa51624bfbc3f17bd043042b9595f7e36077dca","1E-18","No"
"0x4092faeab100e5c36cd1fb257c809907877611ca","1E-18","No"
"0x40a5ddbd38d938fa9da88625e97c0613f2eb2d24","1E-18","No"
"0x40aac259eddfda6e367b28478ed23d72052a9031","1E-18","No"
"0x4191371c83a8f22bd1336829e494129c37411b53","12.25","No"
