        ------------------[14446000, 14446999]: 110
        ------------------[14447000, 14447999]: 170
        ------------------[14448000, 14448999]: 301
        ------------------[14449000, 14449999]: 136
        ------------------[14450000, 14450999]: 114
        ------------------[14451000, 14451999]: 180
        ------------------[14452000, 14452999]: 135
        ------------------[14453000, 14453999]: 210
        ------------------[14454000, 14454999]: 276
        ------------------[14455000, 14455999]: 170
        ------------------[14456000, 14456999]: 374
        ------------------[14457000, 14457999]: 109
        ------------------[14458000, 14458999]: 168
        ------------------[14459000, 14459999]: 183
        ------------------[14460000, 14460999]: 208
        ------------------[14461000, 14461999]: 128
        ------------------[14462000, 14462999]: 184
        ------------------[14463000, 14463999]: 89
        ------------------[14464000, 14464999]: 82
        ------------------[14465000, 14465999]: 6880
        ------------------[14466000, 14466999]: 2730
        ------------------[14467000, 14467999]: 2391
        ------------------[14468000, 14468999]: 1663
        ------------------[14469000, 14469999]: 119
        ------------------[14470000, 14470999]: 255
        ------------------[14471000, 14471999]: 300
        ------------------[14472000, 14472999]: 46
        ------------------[14473000, 14473999]: 31
        ------------------[14474000, 14474999]: 32
        ------------------[14475000, 14475999]: 155
        ------------------[14476000, 14476999]: 15
        ------------------[14477000, 14477999]: 35
        ------------------[14478000, 14478999]: 121
        ------------------[14479000, 14479999]: 231
        ------------------[14480000, 14480999]: 16
        ------------------[14481000, 14481999]: 8
        ------------------[14482000, 14482999]: 8
        ------------------[14483000, 14483999]: 1
        ------------------[14484000, 14484999]: 0
        ------------------[14485000, 14485999]: 1
        ------------------[14486000, 14486999]: 3
        ------------------[14487000, 14487999]: 10
        ------------------[14488000, 14488999]: 1
        ------------------[14489000, 14489999]: 414
        ------------------[14490000, 14490999]: 1204
        ------------------[14491000, 14491999]: 187
        ------------------[14492000, 14492999]: 212
        ------------------[14493000, 14493999]: 54
        ------------------[14494000, 14494999]: 62
        ------------------[14495000, 14495999]: 123
        ------------------[14496000, 14496999]: 128
        ------------------[14497000, 14497999]: 52
        ------------------[14498000, 14498999]: 199
        ------------------[14499000, 14499999]: 24
        ------------------[14500000, 14500999]: 166
        ------------------[14501000, 14501999]: 68
        ------------------[14502000, 14502999]: 1011
        ------------------[14503000, 14503999]: 58
        ------------------[14504000, 14504999]: 4
        ------------------[14505000, 14505999]: 4
        ------------------[14506000, 14506999]: 12
        ------------------[14507000, 14507999]: 0
        ------------------[14508000, 14508999]: 0
        ------------------[14509000, 14509999]: 0
        ------------------[14510000, 14510999]: 0
        ------------------[14511000, 14511999]: 0
        ------------------[14512000, 14512999]: 0
        ------------------[14513000, 14513999]: 0
        ------------------[14514000, 14514999]: 0
        ------------------[14515000, 14515999]: 0
        ------------------[14516000, 14516999]: 0
        ------------------[14517000, 14517999]: 0
        ------------------[14518000, 14518999]: 11
        ------------------[14519000, 14519999]: 0
        ------------------[14520000, 14520999]: 22
        ------------------[14521000, 14521999]: 14
        ------------------[14522000, 14522999]: 0
        ------------------[14523000, 14523999]: 0
        ------------------[14524000, 14524999]: 0
        ------------------[14525000, 14525999]: 0
        ------------------[14526000, 14526999]: 0
        ------------------[14527000, 14527999]: 0
        ------------------[14528000, 14528999]: 0
        ------------------[14529000, 14529999]: 4
        ------------------[14530000, 14530999]: 0
        ------------------[14531000, 14531999]: 0
        ------------------[14532000, 14532999]: 0
        ------------------[14533000, 14533999]: 0
        ------------------[14534000, 14534999]: 0
        ------------------[14535000, 14535999]: 0
        ------------------[14536000, 14536999]: 0
        ------------------[14537000, 14537999]: 0
        ------------------[14538000, 14538999]: 0
        ------------------[14539000, 14539999]: 0
        ------------------[14540000, 14540999]: 0
        ------------------[14541000, 14541999]: 0
        ------------------[14542000, 14542999]: 0
        ------------------[14543000, 14543999]: 0
        ------------------[14544000, 14544999]: 0
        ------------------[14545000, 14545999]: 0
        ------------------[14546000, 14546999]: 0
        ------------------[14547000, 14547999]: 0
        ------------------[14548000, 14548999]: 0
        ------------------[14549000, 14549999]: 0
        ------------------[14550000, 14550999]: 0
        ------------------[14551000, 14551999]: 0
        ------------------[14552000, 14552999]: 0
        ------------------[14553000, 14553999]: 0
        ------------------[14554000, 14554999]: 0
        ------------------[14555000, 14555999]: 0
        ------------------[14556000, 14556999]: 0
        ------------------[14557000, 14557999]: 0
        ------------------[14558000, 14558999]: 0
        ------------------[14559000, 14559999]: 0
        ------------------[14560000, 14560999]: 0
        ------------------[14561000, 14561999]: 0
        ------------------[14562000, 14562999]: 0
        ------------------[14563000, 14563999]: 0
        ------------------[14564000, 14564999]: 0
        ------------------[14565000, 14565999]: 0
        ------------------[14566000, 14566999]: 0
        ------------------[14567000, 14567999]: 0
        ------------------[14568000, 14568999]: 0
        ------------------[14569000, 14569999]: 0
        ------------------[14570000, 14570999]: 0
        ------------------[14571000, 14571999]: 0
        ------------------[14572000, 14572999]: 0
        ------------------[14573000, 14573999]: 0
        ------------------[14574000, 14574999]: 0
        ------------------[14575000, 14575999]: 0
        ------------------[14576000, 14576999]: 0
        ------------------[14577000, 14577999]: 0
        ------------------[14578000, 14578999]: 0
        ------------------[14579000, 14579999]: 3
        ------------------[14580000, 14580999]: 0
        ------------------[14581000, 14581999]: 0
        ------------------[14582000, 14582999]: 0
        ------------------[14583000, 14583999]: 0
        ------------------[14584000, 14584999]: 0
        ------------------[14585000, 14585999]: 0
        ------------------[14586000, 14586999]: 0
        ------------------[14587000, 14587999]: 0
        ------------------[14588000, 14588999]: 0
        ------------------[14589000, 14589999]: 0
        ------------------[14590000, 14590999]: 0
        ------------------[14591000, 14591999]: 0
        ------------------[14592000, 14592999]: 0
        ------------------[14593000, 14593999]: 0
        ------------------[14594000, 14594999]: 0
        ------------------[14595000, 14595999]: 0
        ------------------[14596000, 14596999]: 0
        ------------------[14597000, 14597999]: 0
        ------------------[14598000, 14598999]: 0
        ------------------[14599000, 14599999]: 0
        ------------------[14600000, 14600999]: 0
        ------------------[14601000, 14601999]: 0
        ------------------[14602000, 14602999]: 0
